temp,hum,co2,ammonia,co2
39.47,59.66,379.01,1.32,0
33.98,73.42,462.53,1.25,0
38.45,65.08,473.72,1.11,0
32.83,75.74,396.1,0.99,0
35.76,69.32,455.05,3.24,0
28.95,73.94,374.38,1.1,0
36.66,62.77,393.01,1.23,0
31.49,71.41,419.23,1.16,0
29.22,66.2,386.98,0.96,0
28.81,75.56,399.15,0.85,0
36.18,69.14,415.4,0.9,0
35.04,78.06,466.61,1.26,0
32.31,66.29,427.98,1.04,0
33.32,72.34,591.3,1.22,1
29.45,70.04,422.48,1.22,0
38.73,65.58,398.74,0.82,0
28.3,76.85,447.98,0.92,0
30.71,76.57,367.81,1.1,0
32.5,64.19,452.8,1.23,0
25.91,74.47,389.91,0.8,0
31.71,71.86,417.29,0.72,0
28.73,73.43,372.0,0.98,0
30.87,69.68,438.81,1.01,0
34.23,66.85,447.98,1.25,0
29.73,73.41,378.2,1.01,0
29.31,68.52,423.69,1.45,0
30.24,72.5,426.64,1.18,0
33.22,65.89,386.75,1.31,0
31.44,67.99,388.5,1.27,0
28.04,72.02,456.71,1.36,0
30.28,69.83,444.53,1.01,0
36.28,62.49,385.8,1.26,0
31.66,75.36,464.13,1.33,0
30.05,65.57,423.16,0.83,0
34.24,68.75,406.58,0.8,0
40.97,63.79,459.91,1.26,0
34.96,72.97,427.23,1.07,0
38.85,62.73,403.69,1.2,0
25.12,70.91,442.72,1.15,0
36.24,62.2,390.59,0.79,0
32.03,64.39,453.5,1.28,0
32.12,74.69,394.13,1.23,0
30.5,73.78,437.51,1.16,0
31.05,72.77,442.15,1.25,0
35.69,65.79,380.25,1.23,0
33.42,66.84,390.62,1.13,0
26.25,80.8,382.48,1.32,0
28.19,77.5,443.93,1.21,0
30.73,76.17,458.5,1.15,0
32.08,70.69,422.41,1.09,0
31.38,73.61,454.32,1.23,0
28.69,75.52,382.71,0.95,0
30.82,68.18,412.69,1.23,0
28.84,75.71,380.82,1.27,0
30.97,64.36,414.83,0.92,0
26.46,76.01,441.23,1.37,0
31.98,75.68,440.23,1.3,0
31.46,71.39,456.45,1.14,0
30.25,66.07,435.85,0.94,0
38.61,66.67,389.41,0.99,0
27.63,70.25,469.53,0.79,0
23.33,78.07,374.91,0.76,0
33.33,78.83,461.73,1.35,0
28.1,75.21,477.93,1.25,0
39.42,63.02,460.9,1.25,0
33.91,66.98,407.35,1.2,0
32.56,72.17,413.95,1.21,0
31.6,79.02,448.05,1.26,0
33.88,70.77,404.21,0.99,0
35.7,63.42,404.39,1.29,0
38.29,64.09,385.19,1.34,0
35.64,68.94,414.02,1.31,0
35.85,72.8,414.09,1.18,0
31.52,71.0,409.78,1.09,0
30.51,68.14,383.22,0.89,0
28.25,71.14,427.09,1.41,0
32.97,66.59,438.24,1.14,0
36.05,69.02,437.87,1.85,0
36.48,68.46,461.31,1.21,0
31.1,66.46,415.02,1.03,0
37.66,66.45,378.5,1.31,0
27.44,71.48,399.37,1.02,0
30.43,71.77,467.48,1.01,0
29.83,72.54,440.1,1.24,0
30.54,72.27,391.82,0.94,0
28.87,72.34,449.51,0.94,0
25.11,76.58,375.74,1.32,0
34.94,64.02,391.06,0.96,0
29.14,74.89,396.07,1.17,0
31.76,68.12,607.32,1.13,1
37.63,67.69,467.69,1.42,0
27.86,69.84,404.75,1.08,0
34.06,68.88,458.18,0.99,0
31.49,73.6,404.34,0.98,0
28.77,76.58,379.87,1.22,0
31.44,71.48,458.37,1.25,0
31.47,72.82,428.66,1.46,0
32.67,72.14,413.89,1.09,0
33.98,73.65,463.92,1.22,0
38.08,63.92,396.86,1.22,0
36.37,64.74,443.41,0.97,0
25.49,75.92,384.93,1.16,0
31.48,67.59,417.31,0.87,0
29.08,70.83,412.2,1.15,0
38.53,66.95,401.47,1.09,0
31.14,75.95,452.2,0.73,0
29.26,65.18,414.85,1.32,0
29.12,75.88,442.66,1.34,0
34.66,65.74,443.06,1.25,0
32.35,65.06,442.81,1.26,0
29.88,68.33,449.43,1.22,0
32.02,68.93,385.38,0.8,0
31.73,75.48,400.82,0.97,0
30.84,65.92,368.58,1.41,0
35.21,73.56,442.87,1.29,0
31.43,75.56,451.05,1.2,0
36.99,67.78,375.98,1.27,0
32.34,71.02,407.69,1.12,0
31.09,64.32,459.28,1.14,0
33.51,62.54,454.4,1.26,0
34.32,62.05,472.02,0.81,0
35.27,64.04,402.98,1.4,0
31.84,59.61,464.57,1.38,0
32.17,69.03,391.36,1.14,0
36.62,63.67,454.9,1.07,0
37.47,68.97,382.94,1.25,0
36.5,67.58,411.97,1.06,0
34.57,65.15,376.15,0.84,0
34.47,70.54,429.27,1.33,0
38.56,67.06,418.56,1.19,0
33.63,66.05,406.68,1.08,0
25.92,71.09,391.13,1.0,0
37.06,65.19,459.09,2.86,0
31.79,64.03,435.55,1.01,0
34.67,65.63,473.07,1.05,0
30.34,68.75,428.65,1.09,0
32.78,65.92,401.12,1.01,0
33.32,68.09,470.36,1.0,0
34.57,71.5,423.12,1.29,0
35.93,68.99,429.69,1.04,0
31.66,70.54,428.39,1.17,0
30.01,64.11,382.36,1.25,0
36.95,65.87,459.1,1.19,0
34.24,70.86,455.98,1.12,0
25.02,72.54,365.68,0.87,0
26.06,71.26,409.85,1.18,0
28.17,78.56,405.66,1.3,0
32.51,75.75,378.8,1.06,0
23.87,71.84,430.92,1.11,0
32.03,64.87,392.44,1.04,0
24.46,75.04,387.92,0.97,0
34.93,66.8,395.83,0.93,0
31.41,68.43,418.29,1.39,0
28.92,78.68,390.24,2.07,0
32.15,67.16,445.95,1.34,0
28.85,72.32,453.35,1.11,0
29.19,71.06,441.28,1.17,0
30.68,73.26,400.79,2.59,0
31.46,68.45,422.24,0.98,0
39.02,63.44,387.59,1.28,0
30.02,75.81,378.82,0.73,0
37.13,69.71,391.87,1.16,0
32.97,65.93,396.63,1.16,0
32.91,67.32,369.38,0.76,0
33.41,68.69,398.59,1.26,0
26.54,70.73,431.32,1.25,0
30.55,77.15,456.75,1.07,0
35.21,69.85,373.78,1.08,0
30.64,69.91,450.29,0.77,0
33.44,63.96,453.04,1.03,0
36.43,64.19,460.79,0.87,0
26.15,74.87,459.42,1.06,0
40.92,64.31,446.1,1.36,0
37.16,64.0,429.9,1.42,0
26.71,79.54,456.24,1.18,0
37.04,67.05,426.77,0.89,0
36.63,63.06,379.78,1.22,0
39.4,62.92,374.48,1.3,0
31.88,64.58,436.52,0.96,0
28.02,72.48,395.48,1.08,0
31.05,60.6,444.28,1.2,0
32.84,66.34,386.7,1.23,0
34.63,71.67,416.53,1.05,0
31.57,73.45,447.49,1.28,0
31.77,75.33,444.42,0.97,0
34.87,68.43,422.72,1.07,0
31.65,68.97,418.81,1.04,0
33.4,68.45,452.26,0.85,0
32.02,63.43,458.5,1.28,0
27.72,69.15,384.89,1.11,0
32.72,72.04,407.83,0.8,0
32.56,63.48,440.92,1.08,0
32.53,64.27,433.09,1.33,0
29.16,69.68,464.12,1.16,0
33.2,61.45,437.08,1.17,0
32.71,72.92,430.35,1.01,0
24.91,76.19,404.75,1.17,0
33.71,62.77,391.52,1.06,0
40.8,61.92,469.89,1.22,0
40.62,65.97,400.47,0.91,0
37.44,65.92,380.91,1.04,0
37.77,69.32,392.44,1.23,0
31.56,64.0,440.16,1.32,0
33.9,69.68,426.82,1.08,0
27.21,75.52,380.01,1.17,0
25.95,72.37,424.02,1.25,0
38.06,69.11,421.39,0.98,0
31.47,65.85,403.19,1.2,0
27.03,77.96,383.67,1.27,0
34.85,73.84,463.34,1.03,0
28.33,72.73,415.12,0.93,0
28.02,74.01,409.53,1.02,0
34.31,62.09,446.94,1.05,0
25.97,70.3,385.97,1.16,0
28.87,76.92,388.38,0.98,0
24.49,77.3,446.39,0.83,0
34.79,69.88,466.45,1.18,0
36.65,69.93,580.93,1.21,1
26.2,76.56,372.38,0.86,0
39.3,72.18,447.98,1.3,0
30.28,69.3,447.03,1.27,0
28.53,76.85,455.08,0.76,0
32.36,67.41,428.15,1.25,0
34.01,76.77,379.19,0.88,0
33.78,65.69,442.61,1.32,0
31.56,67.33,400.52,1.09,0
26.61,75.38,443.3,1.32,0
40.0,63.1,381.34,1.41,0
33.83,61.78,451.52,1.07,0
34.64,73.42,405.51,1.15,0
26.89,67.18,374.85,0.96,0
38.3,64.68,397.76,1.36,0
30.58,73.37,402.54,1.38,0
23.78,74.26,439.81,0.86,0
30.38,72.71,415.43,2.29,0
30.09,70.59,376.15,1.28,0
29.85,71.51,393.54,1.26,0
25.69,74.63,390.03,1.34,0
32.43,66.3,449.0,1.32,0
36.96,69.67,416.95,1.19,0
30.4,79.19,435.11,0.93,0
32.46,64.34,442.04,1.33,0
36.47,67.25,380.43,1.19,0
30.33,74.92,389.28,1.34,0
27.84,66.79,418.4,1.25,0
34.22,65.0,439.15,1.14,0
31.75,74.37,445.05,1.29,0
33.25,64.02,442.23,0.85,0
33.4,64.3,456.18,1.28,0
29.81,77.81,399.4,0.89,0
31.16,65.52,419.16,1.19,0
32.0,76.55,459.57,0.91,0
24.87,75.53,394.31,1.32,0
29.67,74.45,457.1,1.25,0
27.89,70.21,421.8,1.21,0
29.29,68.96,369.18,1.02,0
29.49,69.19,399.93,1.12,0
26.44,74.35,388.96,1.17,0
35.16,65.31,393.2,1.23,0
34.88,63.16,392.86,1.18,0
25.9,77.43,448.95,1.02,0
25.74,75.03,430.24,0.9,0
39.12,69.44,423.21,1.2,0
34.04,67.61,407.39,1.25,0
28.0,70.38,458.12,1.22,0
33.82,77.12,397.1,0.74,0
31.06,68.53,419.67,1.28,0
29.79,72.37,387.34,1.13,0
29.13,76.84,370.59,1.57,0
36.26,63.5,426.2,1.15,0
29.89,71.29,464.53,0.98,0
23.94,79.28,394.08,1.05,0
28.7,71.07,469.59,1.24,0
33.96,67.89,454.64,1.17,0
35.4,75.7,414.11,1.05,0
36.55,67.65,439.68,1.31,0
39.99,66.75,430.97,1.07,0
30.51,66.07,449.36,1.22,0
37.58,64.19,431.75,1.45,0
36.01,68.22,452.39,1.36,0
32.66,76.88,457.78,1.28,0
27.46,79.09,455.96,0.89,0
35.06,63.66,377.09,1.44,0
35.75,58.66,450.89,1.1,0
32.64,64.78,407.27,1.04,0
27.47,75.23,387.91,1.24,0
23.52,77.26,394.01,1.11,0
33.76,63.09,392.31,1.06,0
35.7,65.22,398.18,0.93,0
37.18,64.05,444.75,1.15,0
30.45,66.58,441.79,1.01,0
29.68,70.18,412.78,0.82,0
37.6,67.35,463.72,1.34,0
33.4,77.08,436.26,1.37,0
37.81,65.94,420.59,1.14,0
28.34,74.86,398.1,0.91,0
35.57,62.58,400.1,1.34,0
28.53,70.25,422.6,1.03,0
35.81,61.54,398.51,1.18,0
32.13,65.52,437.4,1.11,0
40.26,66.2,371.16,1.16,0
39.24,65.62,455.43,1.09,0
40.42,65.46,379.0,0.96,0
32.53,73.55,457.84,1.28,0
29.22,76.69,416.81,1.28,0
34.73,74.7,398.95,1.09,0
26.78,76.27,455.8,1.16,0
33.5,63.61,454.55,1.2,0
37.81,62.35,406.43,0.93,0
34.18,67.89,472.43,1.2,0
29.77,74.51,398.23,0.87,0
27.15,69.95,374.02,0.96,0
36.62,65.36,474.83,1.3,0
32.62,62.0,400.54,1.25,0
27.61,72.7,441.22,1.15,0
28.26,77.2,444.3,1.16,0
31.85,65.1,461.14,1.28,0
29.85,75.06,433.06,0.92,0
25.71,75.58,450.1,1.24,0
27.11,74.37,450.7,1.43,0
31.53,72.96,444.39,0.9,0
34.51,65.01,388.47,0.83,0
26.88,76.83,434.21,1.31,0
27.46,73.96,458.9,1.09,0
32.56,76.9,434.83,1.34,0
28.17,70.58,427.38,1.05,0
36.39,63.05,381.69,1.26,0
29.91,63.66,455.4,1.16,0
30.52,72.59,436.66,0.86,0
27.0,74.61,453.66,1.39,0
32.42,75.36,393.06,3.0,0
28.43,71.81,370.0,1.19,0
34.95,65.53,446.99,1.3,0
32.2,72.38,444.21,1.44,0
25.86,77.1,455.49,1.2,0
30.97,77.19,387.08,1.13,0
25.52,73.56,397.45,1.17,0
30.52,71.28,391.06,1.01,0
26.79,71.55,385.86,1.28,0
29.13,73.26,413.59,1.22,0
34.58,65.49,390.46,0.99,0
30.98,70.3,424.8,2.86,0
34.52,64.56,441.68,1.07,0
33.6,70.46,447.26,1.28,0
22.46,75.81,397.44,0.94,0
35.27,70.03,370.7,1.02,0
30.19,68.94,429.09,1.01,0
29.3,70.84,408.62,1.15,0
31.78,75.55,521.19,1.33,1
27.41,68.99,447.13,1.16,0
36.51,60.32,432.63,0.99,0
27.03,76.94,396.05,0.88,0
32.61,67.92,410.0,0.94,0
36.28,64.43,443.96,1.18,0
32.07,68.03,413.7,1.27,0
27.77,73.18,400.93,1.28,0
28.55,75.94,585.8,1.13,1
34.76,67.89,409.85,1.16,0
30.27,77.92,431.25,1.02,0
32.08,66.74,397.8,1.26,0
31.07,76.09,432.45,1.35,0
23.36,76.59,466.71,1.36,0
29.56,80.25,387.71,1.04,0
25.49,77.18,383.31,1.02,0
27.38,74.89,389.99,1.05,0
31.8,70.0,406.07,1.09,0
33.21,60.64,439.54,0.78,0
37.81,63.57,401.58,1.19,0
30.45,68.65,466.29,1.07,0
32.76,69.49,423.56,1.32,0
25.07,74.64,449.64,0.98,0
32.95,73.88,463.51,1.27,0
30.31,72.83,425.57,0.95,0
30.35,73.15,451.55,1.27,0
31.9,77.66,435.55,1.04,0
32.51,64.19,437.3,1.31,0
35.18,70.0,404.94,0.69,0
24.26,76.93,460.83,1.01,0
30.52,76.21,460.23,0.83,0
37.03,67.01,445.75,1.27,0
28.41,78.72,376.27,1.41,0
40.99,65.84,388.76,0.89,0
31.74,76.11,432.4,1.29,0
27.79,70.66,426.69,1.12,0
32.83,65.63,411.01,1.04,0
35.12,63.79,463.09,1.15,0
31.64,69.2,385.0,1.22,0
27.72,72.54,394.89,1.2,0
27.5,75.99,437.89,0.99,0
36.78,64.11,447.75,1.41,0
39.85,60.72,391.18,1.34,0
32.13,69.17,442.49,1.1,0
29.68,63.68,383.25,0.99,0
40.63,67.38,385.86,0.67,0
31.06,60.03,474.28,1.19,0
33.5,69.88,430.88,1.12,0
37.33,63.88,376.17,1.29,0
29.69,75.63,398.53,1.27,0
34.67,74.46,468.35,1.15,0
30.36,63.15,392.0,1.33,0
28.83,71.74,409.19,1.13,0
27.22,71.21,371.86,1.07,0
38.42,64.77,469.66,0.88,0
35.27,72.36,388.73,1.13,0
32.81,71.15,464.11,3.34,0
33.44,74.0,469.17,1.21,0
36.73,63.85,378.22,0.77,0
32.81,65.33,450.86,1.17,0
29.47,68.16,367.1,0.82,0
37.96,71.68,451.33,1.26,0
36.73,67.92,434.87,1.22,0
29.81,78.19,412.42,2.68,0
29.68,77.08,398.52,0.84,0
37.09,64.47,447.25,0.93,0
38.41,63.93,460.58,1.08,0
35.31,61.2,473.36,0.8,0
31.22,77.34,394.12,1.01,0
36.44,68.45,420.72,1.04,0
33.96,65.49,425.8,1.19,0
31.49,67.82,410.15,1.03,0
28.56,73.8,389.39,1.3,0
34.37,74.07,422.5,1.16,0
39.22,65.01,402.12,1.27,0
38.04,62.31,400.08,1.07,0
38.95,64.22,439.15,1.09,0
26.18,75.79,501.16,1.07,1
38.81,68.17,396.16,1.34,0
35.74,64.82,437.68,0.68,0
34.66,67.46,434.9,1.14,0
33.39,72.17,374.31,1.13,0
29.81,75.39,391.51,0.9,0
30.34,63.91,406.55,1.05,0
25.15,75.97,414.55,1.23,0
28.92,72.71,436.71,0.81,0
31.45,63.88,459.04,0.77,0
28.52,73.22,410.87,1.27,0
33.52,65.62,474.57,0.77,0
28.18,73.67,451.96,0.95,0
30.08,67.41,435.59,1.15,0
32.63,71.74,421.37,1.13,0
23.83,75.9,387.33,0.77,0
30.97,65.72,425.11,0.93,0
35.9,66.73,384.97,0.74,0
24.33,75.55,401.38,1.04,0
31.96,67.26,453.43,1.04,0
25.07,78.36,399.15,0.97,0
28.66,67.31,470.73,1.25,0
32.54,71.17,422.7,1.07,0
36.06,68.85,387.44,1.27,0
35.16,65.7,414.78,1.25,0
30.69,73.67,426.98,1.3,0
36.96,68.37,588.98,1.1,1
29.27,72.5,456.83,1.31,0
31.07,69.13,387.73,1.06,0
27.21,75.5,394.56,1.38,0
37.75,69.33,454.91,1.18,0
36.77,62.61,455.05,1.24,0
28.14,74.18,484.11,1.02,0
22.88,74.77,447.5,1.2,0
35.4,63.35,474.14,0.94,0
24.82,71.54,428.89,0.91,0
27.49,70.74,371.27,0.96,0
31.86,68.86,380.68,1.2,0
39.63,64.44,451.73,1.26,0
30.9,65.73,447.74,1.0,0
28.28,70.39,414.08,1.18,0
36.43,69.12,405.44,1.03,0
32.07,62.63,463.3,1.32,0
27.31,76.23,445.59,1.03,0
35.97,68.28,402.95,1.05,0
34.54,62.46,383.01,1.22,0
31.82,74.07,410.6,0.83,0
30.34,76.27,468.07,1.17,0
24.39,79.59,406.73,1.34,0
28.25,73.02,447.61,1.28,0
25.27,73.46,424.74,1.31,0
28.81,65.93,439.95,1.06,0
27.27,75.19,447.04,1.31,0
27.13,69.3,430.69,1.12,0
24.63,73.58,461.6,1.4,0
28.78,72.37,460.6,0.97,0
32.55,73.76,426.28,1.36,0
34.24,76.27,397.81,2.98,0
32.26,61.12,393.25,0.94,0
26.08,73.49,402.11,1.02,0
30.73,66.01,419.82,1.04,0
28.23,80.13,380.59,1.15,0
31.26,68.79,467.45,1.22,0
36.42,62.37,379.97,1.87,0
33.19,59.81,449.36,1.22,0
31.33,77.16,377.24,1.84,0
36.11,64.42,415.32,1.02,0
25.43,79.2,385.36,1.04,0
32.69,69.16,420.8,1.05,0
38.04,64.21,437.44,1.3,0
36.71,69.27,459.31,1.0,0
32.22,68.45,460.79,1.31,0
31.09,64.98,451.93,1.19,0
33.87,61.34,453.32,0.81,0
28.35,75.29,439.88,1.23,0
32.98,68.19,434.07,1.22,0
34.08,73.86,452.81,1.37,0
32.37,74.89,418.08,2.47,0
22.95,72.4,455.56,1.31,0
33.46,74.14,454.9,1.39,0
29.86,75.31,390.68,1.03,0
35.5,71.71,431.33,1.04,0
30.01,68.56,466.96,1.15,0
26.81,70.42,453.9,1.14,0
27.84,72.04,386.17,1.25,0
26.54,70.79,449.03,1.22,0
38.16,66.73,419.92,1.3,0
29.33,66.74,383.31,1.11,0
31.2,73.27,471.41,1.11,0
33.63,69.06,434.24,1.34,0
33.72,68.85,380.5,1.09,0
33.86,70.62,611.96,0.75,1
34.01,70.17,462.93,2.98,0
36.04,66.13,398.3,0.93,0
27.66,73.64,396.72,1.04,0
24.19,79.16,460.82,1.15,0
27.4,76.09,433.98,1.19,0
33.73,69.45,471.32,1.02,0
31.42,72.56,396.99,1.36,0
33.74,64.82,456.41,1.25,0
24.11,71.77,436.66,1.34,0
29.42,75.95,386.66,2.05,0
30.26,72.74,414.23,1.28,0
25.93,79.94,438.24,1.1,0
31.66,72.25,405.83,2.99,0
38.22,63.79,428.25,1.24,0
34.48,69.12,473.56,2.76,0
32.86,64.74,454.54,1.0,0
35.21,67.33,427.19,1.27,0
35.96,68.37,437.29,1.25,0
35.04,69.29,429.23,1.15,0
28.66,72.84,449.18,1.16,0
29.72,64.58,410.76,1.08,0
33.12,69.55,386.89,1.25,0
31.51,73.92,460.46,1.15,0
31.9,64.85,446.01,1.15,0
33.38,69.76,412.55,2.62,0
28.39,72.86,437.05,0.84,0
40.0,62.77,412.18,1.12,0
25.14,75.37,388.77,0.98,0
35.43,70.26,428.85,1.24,0
34.02,67.06,465.48,1.23,0
30.04,72.31,444.77,1.25,0
29.69,75.62,444.82,0.98,0
38.51,61.99,435.88,0.86,0
31.85,70.69,401.64,2.59,0
33.49,75.29,428.88,1.09,0
33.17,69.34,465.29,1.16,0
33.47,70.6,419.06,1.1,0
31.71,60.87,440.41,1.22,0
32.76,74.52,366.13,1.32,0
30.5,78.06,442.77,1.0,0
34.18,66.78,398.64,1.24,0
31.34,72.44,436.83,1.27,0
35.32,67.42,422.11,1.27,0
33.86,66.57,443.53,1.2,0
31.99,68.53,460.59,1.17,0
29.15,68.81,425.79,1.0,0
35.45,71.35,397.85,1.35,0
31.27,72.95,431.57,1.27,0
36.39,66.59,451.42,1.27,0
33.41,66.22,453.65,0.97,0
28.56,68.15,430.25,0.88,0
33.79,69.76,420.1,1.15,0
26.6,78.18,375.92,1.3,0
35.39,65.86,470.45,3.27,0
30.86,68.43,432.7,1.0,0
32.26,72.85,381.11,1.3,0
33.71,75.8,407.21,0.93,0
25.37,71.01,439.99,1.09,0
28.9,76.09,390.25,1.22,0
29.03,67.3,418.57,0.95,0
28.84,70.02,448.39,1.12,0
27.3,73.12,386.17,0.87,0
28.36,69.21,407.45,0.99,0
33.02,61.92,399.41,1.28,0
25.87,77.7,446.62,1.24,0
30.28,69.91,371.92,1.03,0
35.24,70.38,427.0,1.24,0
31.39,73.56,438.46,1.15,0
27.41,75.85,385.49,1.24,0
40.03,65.48,437.16,1.19,0
38.34,64.25,460.07,0.89,0
32.62,70.08,367.58,1.31,0
29.78,70.32,417.09,0.97,0
36.2,66.71,438.03,1.05,0
33.95,62.7,399.93,0.83,0
35.77,71.41,373.47,1.17,0
35.07,71.48,387.19,1.8,0
35.67,63.95,456.58,0.66,0
30.97,63.7,368.29,1.06,0
33.32,63.45,442.96,1.0,0
